"","sw_id","ds_id","title","description"
"1",7,"doi.org/10.7281/T10Z715B","Software associated with Scott et al 2016, Intra-Urban temperature variability in Baltimore","This analysis is run in the iPython notebook analysetemperature.ipynb . It can also be run with the Python script of the same name (not tested).

The notebook pulls in data listed in the data/ directory and relies on two python files for plotting utilities, ibuttonplots.py and spatialfunctions.py.

Plots are saved in the plots/ folder of the same name (not tested).

The notebook pulls in data listed in the data/ directory and relies on two python files for plotting utilities, ibuttonplots.py and spatialfunctions.py."
"2",4,"doi.org/10.7281/T15Q4T12","Software associated with publication “Walking dynamics are symmetric (enough)”","There are 3 Matlab files included: 
analyzeCVErrors.m: This m-file analyzes the NCV, MCV, and CCV errors for all subjects and speeds that are stored in the file extendedCVerrorsProcessedData.mat and generates all of the plots in the paper; 
extendCV.m: Outputs:  CrossErr:     NCV, MCV, and CCV errors for all data in ""IOpairs"" structure; 
NCV_MCV_CCV_errors-8-participants-3-speeds.m: This m-file computes Normal, Mirrored, and Combined cross-validation errors for each subject and speed, and for all data forms explained in the paper."
"3",8,"doi.org/10.7281/T1J10120","Software for the report, ""Ferguson, Gray, and Davis: An Analysis of Recorded Crime Incidents and Arrests in Baltimore City, March 2010 through December 2015""","R Analysis Code (as a project in RStudio)
An R project folder “open_bpd” that contains analysis code to produce all of the results in Appendices 2 and 3, data files crimes.type.week.csv and arrests.type.week.csv, using R through RStudio (and LaTeX through the knitR package). The folder also contains a separate README file that explains its contents, as well as a skeletal explanation of how to run the files to reproduce Appendices 2 and 3."
"4",8,"doi.org/10.7281/T1/6BHBC4","R code associated with the 2020 PLoS One publication entitled ""Actor feedback and rigorous monitoring: Essential quality assurance tools for testing behavioral interventions with simulation""","Contains a .Rmd file with the statistical code for generating the figures and analyses in the PLoS One publication, a .csv file with a de-identified version of the project data and a .html file with the output generating by running the .Rmd file using the provided data."
"5",8,"doi.org/10.7281/T1/VWQ4J3","AIM 2 Open Source Code","R Markdown script used to produce figures and tables in the manuscript"
"6",6,"doi.org/10.7281/T1/I9NL60","meme_scraper","Meme scraper code to pull data from Reddit for a project for Drs. Susan Jackson and Renée Marlin-Bennett. Code written in Groovy and Java.
<br><br>
Code for Scraping Memes for the DIY Cruelty Project. May be used under the terms of a CC BY-NC-SA license (credit must be given to the creator; only noncommercial uses of the work are permitted; adaptations must be shared under the same terms.)"
"7",2,"doi.org/10.7281/T1/I9NL60","meme_scraper","Meme scraper code to pull data from Reddit for a project for Drs. Susan Jackson and Renée Marlin-Bennett. Code written in Groovy and Java.
<br><br>
Code for Scraping Memes for the DIY Cruelty Project. May be used under the terms of a CC BY-NC-SA license (credit must be given to the creator; only noncommercial uses of the work are permitted; adaptations must be shared under the same terms.)"
"8",4,"doi.org/10.7281/T1/B660D2","Behavioral and Trial Data, Processed EEG, and Codes to Develop the Models",NA
"9",4,"doi.org/10.7281/T1/7IXSOP","Code associated with the publication: The role of attention and memory in value computation during complex choice","Python and MATLAB code and model simulations associated with the publication: The role of attention and memory in value computation during complex choice."
"10",7,"doi.org/10.7281/T1/7IXSOP","Code associated with the publication: The role of attention and memory in value computation during complex choice","Python and MATLAB code and model simulations associated with the publication: The role of attention and memory in value computation during complex choice."
